OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
"1,771,725","-79,425","8,583",21.37,3.40,-0.85,"1,200",3.40,3.60,375,12500.00,75,"1,077.75","1,086.40",75,-77.65,"1,078.00",-,136,"-1,650","296,400"
"21,600",75,22,20.72,2.10,-1.95,"2,925",2.10,3.40,75,12550.00,750,"1,113.15","1,152.65",75,-,"1,175.15",-,-,-,"1,275"
"96,450","-1,875",108,22.38,2.85,-0.90,150,2.75,3.20,75,12600.00,600,"1,163.65","1,196.10",300,-,"1,023.00",-,-,-,"4,425"
75,-,-,-,3.00,-,150,2.50,3.05,75,12650.00,750,939.45,"1,706.35",750,-,-,-,-,-,-
"36,600",-300,50,24.13,3.05,0.55,150,2.75,3.05,300,12700.00,375,"1,264.55","1,301.30",375,108.75,"1,283.75",26.51,29,"-2,100","5,250"
-,-,-,-,-,-,"3,000",0.50,3.00,"3,000",12750.00,750,"1,039.10","1,806.00",750,-,-,-,-,-,-
"3,600",-,8,24.89,2.45,-0.05,900,1.50,3.20,75,12800.00,375,"1,361.80","1,401.80",375,338.95,"1,390.50",32.32,1,75,750
-,-,-,-,-,-,"3,000",0.30,3.00,"3,000",12850.00,-,-,-,-,-,-,-,-,-,-
"1,650","-1,050",21,25.75,2.05,-0.45,75,1.80,2.60,150,12900.00,375,"1,461.60","1,501.10",375,-,-,-,-,-,-
-,-,-,-,-,-,"3,000",0.20,3.00,"3,000",12950.00,-,-,-,-,-,-,-,-,-,-
"374,625","21,000","1,400",26.14,1.50,-0.25,"5,625",1.50,1.60,"6,300",13000.00,75,"1,574.15","1,582.75",75,-77.05,"1,575.00",-,244,"-1,950","370,050"
-,-,-,-,-,-,"3,000",0.10,3.00,"3,000",13050.00,600,"1,606.85","1,651.55",600,-,-,-,-,-,-
525,-,-,-,1.65,-,"3,600",0.45,2.75,525,13100.00,600,"1,658.75","1,698.40",375,-,-,-,-,-,-
-,-,-,-,-,-,"4,500",0.05,-,-,13150.00,"1,500","1,450.00",-,-,-,-,-,-,-,-
825,-,-,-,1.90,-,"3,600",0.45,2.65,525,13200.00,600,"1,758.75","1,798.50",375,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,13250.00,"1,500","1,550.00",-,-,-,-,-,-,-,-
75,-450,6,28.96,1.05,-0.55,900,0.70,1.80,600,13300.00,600,"1,858.75","1,898.50",375,-,-,-,-,-,-
375,75,5,28.53,0.60,-1.25,300,0.75,1.80,150,13400.00,600,"1,958.75","1,998.55",600,-,-,-,-,-,-
"329,100","-4,500",427,30.37,0.75,-0.20,"5,850",0.75,0.85,300,13500.00,75,"2,073.65","2,089.80",75,-81.15,"2,072.00",-,190,"-6,000","571,500"
